codigo_material_recibido,cantidad_actual
XILI817000W-2512120022,1000
XILI817000W-2512120021,1000
XILI817000W-2512120020,1000
XILI817000W-2512120019,1000
XILI817000W-2512120018,1000
XILI817000W-2512120017,1000
XILI817000W-2512120016,1000
XILI817000W-2512120015,1000
XILI817000W-2512120014,1000
XILI817000W-2512120013,1000
XILI817000W-2512120011,1000
XILI817000W-2512120012,1000
XILI817000W-2512120010,1000
XILI817000W-2512120009,1000
XILI817000W-2512120007,1000
XILI817000W-2512120008,1000
XILI817000W-2512120006,1000
XILI817000W-2512120005,1000
XILI817000W-2512120004,1000
XILI817000W-2512120003,1000
XILI817000W-2512120002,1000
XILI817000W-2512120001,1000
XIMMRSG036B-2512220003,2500
XIMMRSG036B-2512220002,2500
XIMMRSG036B-2512220001,2500
EAG62831909-2601020007,800
EAG62831909-2601020006,800
EAG62831909-2601020005,800
EAG62831909-2601020004,800
EAG62831909-2601020003,800
EAG62831909-2601020002,800
EAG62831909-2601020001,800
EAG62831909-2512230003,800
EAG62831909-2512230002,800
EAG62831909-2512230001,800
EAG62831909-2512150001,800
EAG62831909-2512100001,800
EAG62831911-2601060008,800
EAG62831911-2601060007,800
EAG62831911-2601060006,800
EAG62831911-2601060005,800
EAG62831911-2601060004,800
EAG62831911-2601060003,800
EAG62831911-2601060002,800
EAG62831911-2601060001,800
EAG62831911-2512220006,800
EAG62831911-2512220005,800
EAG62831911-2512220004,800
EAG62831911-2512220003,800
EAG62831911-2512220002,800
EAG62831911-2512220001,800
EAG62831911-2512170002,800
EAG62831911-2512170001,800
EAG62831911-2512130001,800
EAG41647509-2601060003,800
EAG41647509-2601060002,800
EAG41647509-2601060001,800
EAG41647509-2512220004,800
EAG41647509-2512220003,800
EAG41647509-2512220002,800
EAG41647509-2512220001,800
EAG41647509-2512170002,800
EAX01933601-2511280002,50
EAM65534401-2306190001,1800
EAM65534401-2403280002,784
EAX69471803-2412040001,157
XCE475EKK10-2512120005,2000
XCE475EKK10-2512120004,2000
EAX69871901-2601060075,150
EAX69871901-2601060074,150
EAX69871901-2601060073,150
EAX69871901-2601060072,150
EAX69871901-2601060071,150
EAX69871901-2601060070,150
EAX69871901-2601060069,150
EAX69871901-2601060068,150
EAX69871901-2601060067,150
EAX69871901-2601060066,150
EAX69871901-2601060065,150
EAX69871901-2601060064,150
EAX69871901-2601060063,150
EAX69871901-2601060062,150
EAX69871901-2601060061,150
EAX69871901-2601060060,150
EAX69871901-2601060059,150
EAX69871901-2601060058,150
EAX69871901-2601060057,150
EAX69871901-2601060056,150
EAX69871901-2601060055,150
EAX69871901-2601060054,150
EAX69871901-2601060053,150
EAX69871901-2601060052,150
EAX69871901-2601060051,150
EAX69871901-2601060050,150
EAX69871901-2601060049,150
EAX69871901-2601060048,150
EAX69871901-2601060047,150
EAX69871901-2601060046,150
EAX69871901-2601050005,150
EAX69871901-2601050004,150
EAX69871901-2601050003,150
EAX69871901-2601050002,25
EAX69871901-2601050001,25
EAX69871901-2512230014,150
EAX69871901-2512230013,150
EAX69871901-2512230012,150
EAX69871901-2512230011,150
EAX69871901-2512230010,150
EAX69871901-2512230009,150
EAX69871901-2512230008,150
EAX69871901-2512230007,150
EAX69871901-2512230006,150
EAX69871901-2512230005,150
EAX69871901-2512230004,150
EAX69871901-2512230002,150
EAX69871901-2512230003,150
EAX69871901-2512230001,50
EAX69871901-2512130026,150
EAX69871901-2512130025,150
EAX69871901-2512130024,150
EAX69871901-2512130023,150
EAX69871901-2512130022,150
